,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
16,feature_learning_3,0,0.6462874532865849,0.0,0.0,0.0,0.0,0.0,0.0
13,CHAS=1.0,0,,,,,,,
21,feature_learning_8,0,0.6059226358604727,0.0,0.0,0.0,0.0,0.0,0.0
20,feature_learning_7,0,0.2558994307954738,0.0,0.0,0.0,0.0,0.0,0.0
12,CHAS=0.0,0,,,,,,,
19,feature_learning_6,0,0.2597212055946444,0.0,0.0,0.0,0.0,0.0,0.0
22,feature_learning_9,0,0.7727922102388403,0.0,0.0,0.0,0.0,0.0,0.0
15,feature_learning_2,0,0.5738845684964616,0.0,0.0,0.0,0.0,0.0,0.0
17,feature_learning_4,1,0.5905980696890561,0.010419882077597205,-0.04074914543111577,0.010419882077597205,0.04074914543111577,0.0,0.0
23,feature_learning_10,1,0.2592040493530959,-0.007066601633481685,0.00811625577731271,0.007066601633481685,0.00811625577731271,0.0,0.0
1,ZN,1,11.885151407081002,-0.0036750059689038706,0.0014700023875615482,0.0036750059689038706,0.0014700023875615482,0.0,0.0
7,RAD,3,0.1920158511297304,-0.08775781546539482,0.22326015768684762,0.08775781546539482,0.22326015768684762,0.0,0.0
8,TAX,9,0.18182692864749767,0.33402287254944996,-0.17260956806130087,0.3357523922906003,0.17421050702105131,0.0,0.0
2,INDUS,13,0.1852801130698929,0.28080411544035916,-0.12177786803427997,0.3335690203480522,0.2923455754356493,0.0,0.0
5,AGE,14,0.1635223810758206,-0.10293824485892475,0.04940398911432515,0.2438259553126149,0.2508201355466548,0.05195928903215119,0.05977281506971366
9,PTRATIO,15,0.16537626885954873,0.10881689923972217,-0.07139404564809465,0.22439869202143453,0.1729679785236694,0.09127750691410252,0.028142978622213377
10,B,16,0.13727034663396148,-0.40803199458540007,-0.14250373505693126,0.5413391051418495,0.2509128852941945,0.5383016094213531,0.11474408778077105
0,CRIM,19,0.15165650172504835,-0.012958032964201489,-0.1656128720836459,0.23526593381452832,0.42051646048960734,0.08762608516183867,0.3505020142360067
18,feature_learning_5,21,0.2294074382294616,1.2559993721244147,-1.0218598523447509,1.3423211883872153,1.0838114245338601,0.4608452170333184,0.3279468452583476
14,feature_learning_1,25,0.6384849811397558,-0.2992124210118906,0.1484025405196403,0.4533947300950763,0.5303095717890972,0.1399465916068685,0.29399121617862534
3,NOX,26,0.14718324168559893,0.2519443208982012,-0.29773249675354607,0.5385640156609056,0.6162399766226994,0.20938063258526363,0.28249411510942224
4,RM,28,0.13207551951727842,-0.3902703467526536,0.576302361150723,0.5228014589478741,0.7296079171475516,0.20405255472868689,0.2543894749504325
6,DIS,36,0.1523339575084362,0.19788964080997287,0.2414493923136522,0.6583231098954773,0.7252614115304029,0.514060026723925,0.5597945172306602
11,LSTAT,46,0.14311300778756797,1.730621426405361,-1.3591286846305433,1.777882465562535,1.4335059202044453,0.9734706830319064,0.6950161863964235
