,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
19,feature_learning_10,0,3.9544902853649586,0.0,0.0,0.0,0.0,0.0,0.0
17,feature_learning_8,0,4.190778272880879,0.0,0.0,0.0,0.0,0.0,0.0
16,feature_learning_7,0,3.5957231073581277,0.0,0.0,0.0,0.0,0.0,0.0
15,feature_learning_6,0,1.367183070212384,0.0,0.0,0.0,0.0,0.0,0.0
14,feature_learning_5,0,1.8171547151819964,0.0,0.0,0.0,0.0,0.0,0.0
13,feature_learning_4,0,4.695140684518665,0.0,0.0,0.0,0.0,0.0,0.0
12,feature_learning_3,0,1.2739198833346652,0.0,0.0,0.0,0.0,0.0,0.0
18,feature_learning_9,0,3.7076790870553102,0.0,0.0,0.0,0.0,0.0,0.0
11,feature_learning_2,0,4.54887709209236,0.0,0.0,0.0,0.0,0.0,0.0
1,sex,1,0.24955722412259201,0.0,-0.48246852126842765,0.0,0.48246852126842765,0.0,0.0
7,s4,2,0.1378693351021079,-0.0025572983930855957,0.23757643586259594,0.08423095804347439,1.0376885269995269,0.0,0.0
0,age,3,0.14499205322864708,-0.5010048823801289,0.4060606176939053,0.5010048823801289,0.4060606176939053,0.0,0.0
4,s1,4,0.13823461097101605,0.5781652931717962,-0.48304521064946976,1.0051554083998344,0.9100353258775079,0.0,0.0
8,s5,6,0.14160829330382213,-0.20693447988389102,0.36008141954281,1.4668296945854062,1.5771418728245505,0.0,0.0
6,s3,9,0.14172507883022234,1.8389972699498276,-1.4216328451503746,2.287242014033239,1.6726683835391976,0.0,0.0
5,s2,10,0.13808670499743925,0.0035890682583440076,0.8536200096563376,1.991924472475037,2.529688812518373,0.0,0.0
3,bp,11,0.14154144200744598,-1.1071159214106687,1.2399617064622763,2.480764640280223,2.4705079043997236,0.0,0.0
9,s6,17,0.13688447092146205,1.8302390941403999,-0.0891099330597066,4.3517960132465,4.527455655394953,2.0485728033858095,3.1193253299636865
2,bmi,19,0.1408444189032348,-2.629837654784225,3.4376559032360463,5.517452116476202,8.581921806651302,0.20884450135518762,3.3568070669342376
10,feature_learning_1,37,1.5386944654408825,21.507998136789364,-18.187315096307895,21.753645854235895,18.27495948138591,18.03891231785613,14.713978277253062
